"","State","County","Tract","Median_Income_past_12months_Total","Race_Wht","Race_Blk","Race_Lat","Race_Asn","Race_Am_Indn","Race_Isl","Race_Other","Race_Two","Lat_Orgn","NonLat_Orgn","Income_Wht","Income_Blk","Income_NonLat","Income_Lat","Income_Natv","Income_Asn","Income_Isl","Income_Other","Income_TwoRaces","Income_Under10k","Income_10k","Income_20k","Income_30k","Income_40k","Income_50k","Income_60k","Income_70k","Income_80k","Income_90k","Income_100_199k","Income_200_249k","Income_250_499k","Income_500k_up","Income_Imputed","Vacancy_Status","Occupation_16_up","Educational_Attainment_25yrs_up","Employment_Status","Poverty_Status_Past12","Food_Stamps","Total_Housing_Units","Gini_Income_Ineq"
"703","25","025","060101",52382,3621,39,3798,74,0,0,47,17,3798,3700,1601,0,1601,28,0,40,0,0,7,0,0,0,0,0,0,0,0,0,15,0,6,235,235,804,64,280,188,277,70,52,1712,0.4223
"704","25","025","060200",NA,2290,1,2412,91,0,0,2,28,2412,2397,957,0,957,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,202,202,703,40,184,146,193,47,19,1055,0.3644
"705","25","025","060301",NA,3364,2,3432,18,0,0,30,18,3432,3372,1555,0,1528,27,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,8,225,225,871,159,326,214,358,6,28,1738,0.4555
"706","25","025","060400",51489,5115,133,5378,62,0,0,68,0,5378,5204,2439,53,2371,118,0,44,0,50,0,0,0,0,0,0,0,0,0,0,0,0,16,568,568,1537,118,502,442,552,77,45,2704,0.4084
"707","25","025","060501",NA,3782,42,4056,118,0,0,98,16,4056,3884,1831,0,1771,85,0,48,0,25,0,9,0,0,0,0,0,0,0,0,0,11,0,340,340,937,125,372,138,173,9,25,2029,0.4134
"708","25","025","060600",NA,2314,19,2679,273,0,0,0,73,2679,2652,1272,10,1259,13,0,120,0,0,19,0,0,0,0,0,0,0,0,0,0,16,20,182,182,481,164,215,107,170,13,14,1585,0.4048
"709","25","025","060700",15368,670,810,2557,249,7,0,635,186,2557,1588,276,192,231,329,7,45,0,216,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,37,189,121,155,82,110,838,0.4157
"710","25","025","060800",51951,4463,4,5118,173,92,0,151,235,5118,4923,1843,0,1801,100,25,145,0,58,52,0,0,0,0,0,0,0,0,0,0,34,0,350,350,1436,123,811,545,578,26,40,2246,0.4628
"711","25","025","061000",16529,1880,375,3190,279,0,0,514,142,3190,2218,813,103,669,388,0,104,0,273,16,0,0,0,0,0,0,0,0,0,0,0,0,68,68,612,57,193,220,221,38,55,1366,0.5624
"712","25","025","061101",12528,705,480,2168,402,5,0,513,63,2168,1162,349,235,217,445,0,181,0,246,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,70,67,148,115,27,65,1107,0.569
