"","State","County","Tract","Median_Income_past_12months_Total","Race_Wht","Race_Blk","Race_Lat","Race_Asn","Race_Am_Indn","Race_Isl","Race_Other","Race_Two","Lat_Orgn","NonLat_Orgn","Income_Wht","Income_Blk","Income_NonLat","Income_Lat","Income_Natv","Income_Asn","Income_Isl","Income_Other","Income_TwoRaces","Income_Under10k","Income_10k","Income_20k","Income_30k","Income_40k","Income_50k","Income_60k","Income_70k","Income_80k","Income_90k","Income_100_199k","Income_200_249k","Income_250_499k","Income_500k_up","Income_Imputed","Vacancy_Status","Occupation_16_up","Educational_Attainment_25yrs_up","Employment_Status","Poverty_Status_Past12","Food_Stamps","Total_Housing_Units","Gini_Income_Ineq"
"878","25","025","120105",NA,2109,124,2620,188,0,0,69,130,2620,2489,802,45,784,33,0,37,0,15,20,0,0,0,0,0,0,0,0,0,0,0,17,128,128,423,42,137,43,125,61,4,961,0.4534
"879","25","025","120201",NA,2611,350,3679,33,37,0,461,187,3679,2398,1302,181,1067,529,6,12,0,161,86,0,0,0,0,0,0,0,0,0,0,0,0,181,181,454,93,240,151,130,7,19,1841,0.4612
"880","25","025","120301",29820,2578,1111,5201,335,0,0,1034,143,5201,3433,1079,396,990,582,0,71,0,405,45,0,0,0,0,0,0,0,0,0,0,0,46,228,228,1394,54,503,226,417,83,10,2050,0.4356
"881","25","025","120400",NA,5042,707,6613,273,0,0,445,146,6613,5730,2323,241,2172,308,0,96,0,157,15,0,0,14,0,0,0,0,0,0,0,0,0,305,305,1508,35,705,621,704,47,44,2867,0.448
"882","25","025","120500",NA,1289,423,2479,118,0,0,569,80,2479,1492,533,136,421,265,0,47,0,161,26,0,0,0,4,0,0,0,0,0,0,0,0,59,59,580,62,238,145,180,68,38,965,0.5492
"883","25","025","120600",NA,2222,124,2580,90,6,0,61,77,2580,2290,973,17,896,121,6,24,0,28,38,0,0,0,0,0,0,0,0,0,0,0,9,212,212,384,9,382,145,174,20,0,1095,0.3655
"884","25","025","120700",NA,1377,156,2155,310,25,0,237,50,2155,1735,677,76,608,180,14,138,0,115,4,2,0,0,0,0,0,0,0,0,0,22,0,153,153,323,75,173,104,170,25,41,1099,0.4727
"885","25","025","130100",46967,5559,76,6517,665,0,0,128,89,6517,6275,2496,25,2446,50,0,269,0,53,35,23,0,0,0,0,0,0,0,0,0,59,79,550,550,1184,45,582,346,570,63,0,2923,0.3668
"886","25","025","130200",NA,4491,95,5008,271,0,0,90,61,5008,4755,1709,35,1676,33,0,87,0,27,0,2,0,0,0,0,0,0,0,0,0,0,9,283,283,1013,92,216,200,230,112,69,1950,0.4138
"887","25","025","130300",47939,4132,108,4680,139,0,0,210,91,4680,4407,1608,37,1608,62,0,39,0,62,15,32,0,0,0,0,0,0,0,0,0,6,0,294,294,883,53,381,208,308,64,38,1814,0.3707
"888","25","025","130402",40915,4399,96,4908,413,0,0,0,0,4908,4623,1922,48,1814,108,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,571,571,748,169,282,223,337,171,18,2286,0.4204
"889","25","025","130404",NA,2299,230,3337,333,0,0,352,123,3337,2785,965,90,895,165,0,121,0,96,34,15,0,0,0,0,0,0,0,0,0,0,39,170,170,580,48,210,155,183,58,6,1354,0.4246
"890","25","025","130406",29819,2201,2589,5399,393,0,0,167,49,5399,4222,1025,914,788,488,0,169,0,104,38,0,0,0,0,0,0,0,0,0,0,55,0,198,198,900,141,274,159,172,35,37,2391,0.4789
"891","25","025","140102",35041,2035,1954,4700,240,0,0,240,231,4700,3935,912,586,827,212,0,55,0,44,62,9,0,0,0,0,0,0,0,0,0,0,10,311,311,1173,111,353,346,394,108,46,1770,0.4244
"892","25","025","140105",33349,1840,1415,3997,91,0,0,580,71,3997,2747,705,346,553,352,0,44,0,195,34,0,0,0,15,0,0,0,0,0,0,10,8,304,304,993,48,415,312,391,78,48,1372,0.4155
"893","25","025","140106",26275,582,985,1877,8,0,0,198,104,1877,1438,260,458,198,181,0,3,0,84,31,0,0,0,0,0,0,0,0,0,0,0,0,50,50,466,55,217,94,182,53,0,891,0.4985
"894","25","025","140107",32259,1042,1426,2912,7,71,0,335,31,2912,2087,532,354,452,252,21,0,0,135,13,0,0,0,0,0,0,0,0,0,0,0,10,209,209,710,61,143,236,163,21,22,1116,0.4782
"895","25","025","140201",40461,1444,397,2368,146,142,0,163,76,2368,1686,630,125,543,236,41,30,0,66,47,3,0,0,9,0,0,0,0,0,0,0,12,163,163,381,32,95,70,120,74,38,971,0.3354
"940","25","025","140202",31917,2850,2029,6401,231,0,0,877,414,6401,4866,1113,622,1009,430,0,77,0,250,80,12,0,0,10,0,0,0,0,0,0,21,9,634,634,1809,62,674,503,717,59,65,2204,0.4264
"941","25","025","140300",NA,1464,3886,6830,13,11,0,1207,249,6830,4887,647,1198,480,566,11,5,0,412,66,9,0,0,0,0,0,0,0,0,0,0,0,230,230,2059,219,670,428,601,175,32,2558,0.4279
"942","25","025","140400",NA,1220,6253,8368,18,24,0,638,215,8368,6993,481,2119,398,408,24,0,0,180,76,18,0,0,0,0,0,0,0,0,0,49,24,493,493,2422,143,916,896,1056,316,141,3023,0.3799
"967","25","025","980300",NA,151,104,360,20,5,0,63,17,360,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,47,77,65,0,0,0,-666666666
"968","25","025","980700",36250,9,0,9,0,0,0,0,0,9,9,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.1762
"969","25","025","981000",-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666
"970","25","025","981100",NA,152,322,596,13,13,0,61,35,596,465,35,101,35,32,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,4,4,53,0,0,42,13,13,0,168,0.4853
"971","25","025","981201",-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666
"972","25","025","981202",NA,123,25,183,22,0,0,0,13,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,26,82,0,0,0,-666666666
"973","25","025","981300",65813,285,28,486,44,0,0,82,47,486,302,204,10,189,32,0,21,0,17,5,0,0,5,0,0,0,0,0,0,0,0,0,58,58,131,17,54,66,13,12,4,274,0.335
"974","25","025","981501",-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666
"975","25","025","981502",-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666
"976","25","025","981600",-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666
"977","25","025","981700",-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666
"978","25","025","981800",NA,33,0,33,0,0,0,0,0,33,33,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,30,0.388
"1086","25","017","342400",25629,4196,1430,6636,317,49,0,358,286,6636,5004,1711,428,1352,532,5,83,0,83,146,0,0,0,0,0,0,0,0,0,0,25,43,119,119,882,196,347,348,482,149,15,2652,0.4575
"1089","25","017","350103",37591,1179,89,1320,43,6,0,0,3,1320,1320,489,16,489,0,3,12,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,43,43,303,0,111,80,181,45,8,520,0.387
"1104","25","017","351403",27332,2906,463,4158,296,0,0,231,262,4158,2845,1147,150,1036,247,0,104,0,69,117,0,0,0,0,0,0,0,0,0,0,0,20,114,114,1071,98,328,201,391,97,61,1685,0.4403
"1105","25","017","351404",24970,2712,277,4032,508,0,0,224,311,4032,3079,1112,131,965,223,0,172,0,27,130,0,0,0,0,0,0,0,0,0,0,5,0,91,91,1096,50,292,160,303,78,23,1622,0.4282
"1106","25","017","351500",32418,1637,315,2701,368,0,0,348,33,2701,2161,755,107,708,181,0,151,0,110,16,0,0,0,0,0,0,0,0,0,0,0,14,105,105,506,24,168,92,170,22,34,1163,0.4339
"1380","25","001","010500",33938,2801,8,2839,21,0,0,9,0,2839,2830,1344,0,1344,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,429,1525,33,89,133,52,7,2877,0.5344
"1381","25","001","010600",30389,3162,202,3419,26,0,0,0,29,3419,3294,1462,71,1462,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,638,1321,103,79,143,48,0,2859,0.4874
